uid,gender,ethnicity,rank_2015,age,party_membership_age,rank_2005,edu_2005
810,1,1,6,56.624657534246595,35.5260273972603,6,4
811,1,1,6,59.9616438356164,34.3643835616438,6,3
812,1,1,6,61.7972602739726,39.5287671232877,6,4
813,1,1,7,64.7972602739726,35.3643835616438,7,3
814,1,1,8,60.7945205479452,40.1150684931507,7,4
815,1,1,7,64.6301369863014,44.3698630136986,7,4
816,1,1,7,65.6328767123288,32.2767123287671,7,4
817,0,1,6,49.2876712328767,20.6821917808219,4,5
818,0,0,6,44.6986301369863,20.1013698630137,5,5
819,1,1,6,46.7013698630137,28.772602739725997,5,4
820,1,1,6,47.8684931506849,28.854794520547898,5,5
821,1,1,6,47.786301369863,29.6082191780822,5,5
822,1,1,7,38.1150684931507,20.186301369863,6,5
823,1,1,7,53.041095890411,31.194520547945203,6,3
824,1,1,8,53.7068493150685,25.271232876712297,7,4
826,1,0,8,48.1205479452055,23.769863013698597,6,6
827,1,0,6,47.6191780821918,29.6082191780822,4,4
828,1,0,6,50.4520547945205,29.775342465753397,4,4
829,1,1,6,44.2027397260274,21.186301369863,5,4
830,1,1,5,49.5369863013699,25.930151147534673,5,5
831,1,1,5,39.7808219178082,20.2684931506849,5,5
832,1,1,6,42.7835616438356,20.6,5,5
833,1,1,5,50.4520547945205,19.6,5,4
834,1,1,6,51.4520547945205,27.191780821917803,5,4
835,1,1,5,47.1205479452055,23.704574673375447,4,4
836,1,1,5,46.7013698630137,21.186301369863,4,6
837,1,0,6,55.2109589041096,29.1068493150685,5,4
838,1,1,5,42.2849315068493,16.5123287671233,4,5
839,1,1,6,49.5369863013699,28.854794520547898,5,4
840,1,1,5,52.4520547945205,28.61497356080603,5,5
842,1,0,6,48.2876712328767,28.772602739725997,5,4
843,1,0,5,52.5369863013699,28.69319677021533,5,5
844,1,1,6,51.2904109589041,26.5205479452055,5,4
845,1,1,6,51.9561643835616,23.769863013698597,5,4
846,1,0,5,37.3643835616438,17.6,4,5
848,1,0,6,42.4465753424658,20.0191780821918,4,5
849,1,1,5,50.9561643835616,29.191780821917803,5,4
850,1,1,5,46.2054794520548,20.6,4,5
851,1,0,6,48.4493150684931,19.7671232876712,5,5
853,1,1,7,50.8712328767123,30.194520547945203,6,5
854,1,0,7,61.712328767123296,33.027397260274,7,4
855,0,0,7,45.6191780821918,19.6,6,3
856,1,1,6,61.9643835616438,28.687671232876703,6,4
